middleschool,variable.x,est,se,pct,pctse
Coile,hoursworked5,1513.699651,155.3419003,0.354624333,0.03411447
Hilsman,hoursworked5,3877.466711,327.5161766,0.438243144,0.033138555
BHL,healthinsure0,1771.705896,200.6656264,0.352130944,0.036404974
Clarke,healthinsure0,4036.133874,377.5608756,0.362772558,0.032144853
Coile,healthinsure0,1740.952187,159.5812118,0.405381443,0.034770412
Hilsman,healthinsure0,2791.723206,290.2260594,0.312804242,0.030375817
BHL,healthinsure1,3259.677816,237.6500081,0.647869056,0.036404974
Clarke,healthinsure1,7089.663224,438.4339988,0.637227442,0.032144853
Coile,healthinsure1,2553.650388,173.6426083,0.594618557,0.034770412
Hilsman,healthinsure1,6133.102077,361.1283133,0.687195758,0.030375817
BHL,dentalinsure0,2085.04896,211.7238114,0.414408656,0.03744197
Clarke,dentalinsure0,5340.312702,412.63374,0.479993717,0.034055944
Coile,dentalinsure0,2105.057071,165.6663671,0.490163417,0.035113246
Hilsman,dentalinsure0,3494.202162,316.0238767,0.391514909,0.032207424
BHL,dentalinsure1,2946.334752,232.7789949,0.585591344,0.03744197
Clarke,dentalinsure1,5785.484397,433.7302434,0.520006283,0.034055944
Coile,dentalinsure1,2189.545505,169.0089291,0.509836583,0.035113246
Hilsman,dentalinsure1,5430.623121,356.5199354,0.608485091,0.032207424
BHL,sickleave0,2233.963068,215.5745136,0.444005704,0.037837164
Clarke,sickleave0,5166.233217,406.5879209,0.464347244,0.033865302
Coile,sickleave0,2149.502996,167.3398626,0.500512669,0.035394911
Hilsman,sickleave0,3744.554845,322.766696,0.419566179,0.032382827
BHL,sickleave1,2797.420644,231.7584453,0.555994296,0.037837164
Clarke,sickleave1,5959.563882,436.7152259,0.535652756,0.033865302
Coile,sickleave1,2145.099579,169.4715776,0.499487331,0.035394911
Hilsman,sickleave1,5180.270438,350.6527944,0.580433821,0.032382827
BHL,paidvacay0,2249.461868,215.3311826,0.447086129,0.037743017
Clarke,paidvacay0,5251.478171,413.9081634,0.472009163,0.03410924
Coile,paidvacay0,1894.260169,163.3622764,0.44107927,0.035174086
Hilsman,paidvacay0,3452.771933,315.2732567,0.386872776,0.032139936
BHL,paidvacay1,2781.921844,231.1487316,0.552913871,0.037743017
Clarke,paidvacay1,5874.318927,433.6861252,0.527990837,0.03410924
Coile,paidvacay1,2400.342406,172.2414386,0.55892073,0.035174086
Hilsman,paidvacay1,5472.05335,356.3406114,0.613127224,0.032139936
BHL,famleave0,2965.463176,233.6859517,0.589393166,0.037595508
Clarke,famleave0,6825.553245,436.5714313,0.61348892,0.033871952
Coile,famleave0,2640.48988,169.4494309,0.614839169,0.033811516
Hilsman,famleave0,5015.526491,348.6608217,0.561974754,0.032899849
BHL,famleave1,2065.920536,212.1932552,0.410606834,0.037595508
Clarke,famleave1,4300.243853,407.4716755,0.38651108,0.033871952
Coile,famleave1,1654.112696,156.2176279,0.385160831,0.033811516
Hilsman,famleave1,3909.298792,331.6312031,0.438025246,0.032899849
BHL,retireplan0,2226.932275,216.0795387,0.442608317,0.037871761
Clarke,retireplan0,4884.621806,397.0633506,0.439035672,0.033377226
Coile,retireplan0,2234.121018,165.9127,0.52021601,0.03480843
Hilsman,retireplan0,3322.182887,309.7472483,0.372240664,0.03176773
BHL,retireplan1,2804.451437,231.496473,0.557391683,0.037871761
Clarke,retireplan1,6241.175293,438.0921716,0.560964328,0.033377226
Coile,retireplan1,2060.481557,166.3003978,0.47978399,0.03480843
Hilsman,retireplan1,5602.642396,357.3349985,0.627759336,0.03176773
BHL,profitshare0,4472.773613,238.2941708,0.888974856,0.023172801
Clarke,profitshare0,10006.08291,413.4638304,0.899358744,0.022557351
Coile,profitshare0,3594.806114,168.5184727,0.837052102,0.027084457
Hilsman,profitshare0,7753.887821,352.8186672,0.868799957,0.022277473
BHL,profitshare1,558.610099,119.3569298,0.111025144,0.023172801
Clarke,profitshare1,1119.714189,255.1968407,0.100641256,0.022557351
Coile,profitshare1,699.7964618,118.5784867,0.162947898,0.027084457
Hilsman,profitshare1,1170.937462,205.1147665,0.131200043,0.022277473
BHL,bonus0,4329.051779,241.6046245,0.860409785,0.026399126
Clarke,bonus0,9727.551233,412.0218284,0.874323983,0.0226677
Coile,bonus0,3383.100824,171.901573,0.787756437,0.029644822
Hilsman,bonus0,6989.249176,362.0760192,0.783124482,0.02746396
BHL,bonus1,702.331933,136.5161234,0.139590215,0.026399126
Clarke,bonus1,1398.245866,257.1059343,0.125676017,0.0226677
Coile,bonus1,911.5017518,130.6751824,0.212243563,0.029644822
Hilsman,bonus1,1935.576107,256.5518404,0.216875518,0.02746396
BHL,noworkben0,3812.731593,242.0354716,0.757789867,0.032502454
Clarke,noworkben0,8189.647221,437.1198432,0.736095324,0.030904031
Coile,noworkben0,3055.703574,173.3410683,0.711521851,0.032370453
Hilsman,noworkben0,6867.411656,361.4680882,0.769472952,0.028153645
BHL,noworkben1,1218.652119,172.5042988,0.242210133,0.032502454
Clarke,noworkben1,2936.149877,359.7148566,0.263904676,0.030904031
Coile,noworkben1,1238.899001,145.0659467,0.288478149,0.032370453
Hilsman,noworkben1,2057.413627,264.4082454,0.230527048,0.028153645
BHL,healthcover0,1060.808665,155.6754411,0.137172556,0.020041339
Clarke,healthcover0,1285.229949,241.1231448,0.090116497,0.01689199
Coile,healthcover0,1133.158233,129.1862019,0.196104787,0.02230347
Hilsman,healthcover0,1588.608814,230.8784052,0.121343463,0.017599078
BHL,healthcover1,6672.579817,175.2801238,0.862827444,0.020041339
Clarke,healthcover1,12976.64211,266.271598,0.909883503,0.01689199
Coile,healthcover1,4645.17207,136.5062887,0.803895213,0.02230347
Hilsman,healthcover1,11503.22801,252.9198896,0.878656537,0.017599078
BHL,tanf0,7352.481089,134.9747067,0.995906713,0.004092907
Clarke,tanf0,13575.67463,235.3837542,0.998727284,8.93E-04
Coile,tanf0,5393.026725,101.4640105,0.993151987,0.004111993
Hilsman,tanf0,12398.06282,195.6629821,0.999078657,6.46E-04
BHL,tanf1,30.219513,30.219513,0.004093287,0.004092907
Clarke,tanf1,17.2999992,12.12883467,0.001272716,8.93E-04
Coile,tanf1,37.1861668,22.33003655,0.006848013,0.004111993
Hilsman,tanf1,11.4334002,8.015828159,9.21E-04,6.46E-04
BHL,ssdi0,7099.115359,151.3731502,0.961587872,0.010997614
Clarke,ssdi0,13109.14801,262.3660407,0.964406127,0.009276554
Coile,ssdi0,5065.155349,118.4406434,0.932772886,0.013179386
Hilsman,ssdi0,11649.26665,242.3437308,0.938738079,0.01272681
BHL,ssdi1,283.585243,81.29705788,0.038412128,0.010997614
Clarke,ssdi1,483.8266162,126.1494505,0.035593873,0.009276554
Coile,ssdi1,365.0575428,71.7181488,0.067227114,0.013179386
Hilsman,ssdi1,760.2295755,158.3655305,0.061261921,0.01272681
BHL,caps0,7322.418589,137.7623764,0.991834694,0.005772284
Clarke,caps0,13584.32463,235.2409367,0.999363642,6.36E-04
Coile,caps0,5416.981315,99.85061913,0.997563341,0.001910621
Hilsman,caps0,12338.28936,200.1982347,0.994261906,0.0039424
BHL,caps1,60.282013,42.62596477,0.008165306,0.005772284
Clarke,caps1,8.6499996,8.6499996,6.36E-04,6.36E-04
Coile,caps1,13.2315762,10.37321419,0.002436659,0.001910621
Hilsman,caps1,71.2068601,48.94200707,0.005738094,0.0039424
BHL,ssi0,6888.576371,170.741443,0.933069989,0.016015443
Clarke,ssi0,12959.85488,275.42088,0.953423017,0.011380178
Coile,ssi0,5136.556421,119.4850258,0.945921739,0.013435775
Hilsman,ssi0,11673.98946,240.2515768,0.940730329,0.012673098
BHL,ssi1,494.124231,118.564163,0.066930011,0.016015443
Clarke,ssi1,633.1197424,154.8115003,0.046576983,0.011380178
Coile,ssi1,293.6564706,73.10913042,0.054078261,0.013435775
Hilsman,ssi1,735.5067641,157.8606919,0.059269671,0.012673098
BHL,wic0,7230.261631,139.8332702,0.979351869,0.007271893
Clarke,wic0,13480.56748,238.5274425,0.991730497,0.003102795
Coile,wic0,5195.539511,111.3820173,0.956783761,0.010171521
Hilsman,wic0,12227.73796,207.0561179,0.985353293,0.006165533
BHL,wic1,152.438971,53.76212643,0.020648131,0.007271893
