middleschool,variable.x,pct,pctse
Coile,healthinsure1,0.594618557,0.034770412
Hilsman,healthinsure1,0.687195758,0.030375817
BHL,dentalinsure0,0.414408656,0.03744197
Clarke,dentalinsure0,0.479993717,0.034055944
Coile,dentalinsure0,0.490163417,0.035113246
Hilsman,dentalinsure0,0.391514909,0.032207424
BHL,dentalinsure1,0.585591344,0.03744197
Clarke,dentalinsure1,0.520006283,0.034055944
Coile,dentalinsure1,0.509836583,0.035113246
Hilsman,dentalinsure1,0.608485091,0.032207424
BHL,sickleave0,0.444005704,0.037837164
Clarke,sickleave0,0.464347244,0.033865302
Coile,sickleave0,0.500512669,0.035394911
Hilsman,sickleave0,0.419566179,0.032382827
BHL,sickleave1,0.555994296,0.037837164
Clarke,sickleave1,0.535652756,0.033865302
Coile,sickleave1,0.499487331,0.035394911
Hilsman,sickleave1,0.580433821,0.032382827
BHL,paidvacay0,0.447086129,0.037743017
Clarke,paidvacay0,0.472009163,0.03410924
Coile,paidvacay0,0.44107927,0.035174086
Hilsman,paidvacay0,0.386872776,0.032139936
BHL,paidvacay1,0.552913871,0.037743017
Clarke,paidvacay1,0.527990837,0.03410924
Coile,paidvacay1,0.55892073,0.035174086
Hilsman,paidvacay1,0.613127224,0.032139936
BHL,famleave0,0.589393166,0.037595508
Clarke,famleave0,0.61348892,0.033871952
Coile,famleave0,0.614839169,0.033811516
Hilsman,famleave0,0.561974754,0.032899849
BHL,famleave1,0.410606834,0.037595508
Clarke,famleave1,0.38651108,0.033871952
Coile,famleave1,0.385160831,0.033811516
Hilsman,famleave1,0.438025246,0.032899849
BHL,retireplan0,0.442608317,0.037871761
Clarke,retireplan0,0.439035672,0.033377226
Coile,retireplan0,0.52021601,0.03480843
Hilsman,retireplan0,0.372240664,0.03176773
BHL,retireplan1,0.557391683,0.037871761
Clarke,retireplan1,0.560964328,0.033377226
Coile,retireplan1,0.47978399,0.03480843
Hilsman,retireplan1,0.627759336,0.03176773
BHL,profitshare0,0.888974856,0.023172801
Clarke,profitshare0,0.899358744,0.022557351
Coile,profitshare0,0.837052102,0.027084457
Hilsman,profitshare0,0.868799957,0.022277473
BHL,profitshare1,0.111025144,0.023172801
Clarke,profitshare1,0.100641256,0.022557351
Coile,profitshare1,0.162947898,0.027084457
Hilsman,profitshare1,0.131200043,0.022277473
BHL,bonus0,0.860409785,0.026399126
Clarke,bonus0,0.874323983,0.0226677
Coile,bonus0,0.787756437,0.029644822
Hilsman,bonus0,0.783124482,0.02746396
BHL,bonus1,0.139590215,0.026399126
Clarke,bonus1,0.125676017,0.0226677
Coile,bonus1,0.212243563,0.029644822
Hilsman,bonus1,0.216875518,0.02746396
BHL,noworkben0,0.757789867,0.032502454
Clarke,noworkben0,0.736095324,0.030904031
Coile,noworkben0,0.711521851,0.032370453
Hilsman,noworkben0,0.769472952,0.028153645
BHL,noworkben1,0.242210133,0.032502454
Clarke,noworkben1,0.263904676,0.030904031
Coile,noworkben1,0.288478149,0.032370453
Hilsman,noworkben1,0.230527048,0.028153645
BHL,healthcover0,0.137172556,0.020041339
Clarke,healthcover0,0.090116497,0.01689199
Coile,healthcover0,0.196104787,0.02230347
Hilsman,healthcover0,0.121343463,0.017599078
BHL,healthcover1,0.862827444,0.020041339
Clarke,healthcover1,0.909883503,0.01689199
Coile,healthcover1,0.803895213,0.02230347
Hilsman,healthcover1,0.878656537,0.017599078
BHL,tanf0,0.995906713,0.004092907
Clarke,tanf0,0.998727284,8.93E-04
Coile,tanf0,0.993151987,0.004111993
Hilsman,tanf0,0.999078657,6.46E-04
BHL,tanf1,0.004093287,0.004092907
Clarke,tanf1,0.001272716,8.93E-04
Coile,tanf1,0.006848013,0.004111993
Hilsman,tanf1,9.21E-04,6.46E-04
BHL,ssdi0,0.961587872,0.010997614
Clarke,ssdi0,0.964406127,0.009276554
Coile,ssdi0,0.932772886,0.013179386
Hilsman,ssdi0,0.938738079,0.01272681
BHL,ssdi1,0.038412128,0.010997614
Clarke,ssdi1,0.035593873,0.009276554
Coile,ssdi1,0.067227114,0.013179386
Hilsman,ssdi1,0.061261921,0.01272681
BHL,caps0,0.991834694,0.005772284
Clarke,caps0,0.999363642,6.36E-04
Coile,caps0,0.997563341,0.001910621
Hilsman,caps0,0.994261906,0.0039424
BHL,caps1,0.008165306,0.005772284
Clarke,caps1,6.36E-04,6.36E-04
Coile,caps1,0.002436659,0.001910621
Hilsman,caps1,0.005738094,0.0039424
BHL,ssi0,0.933069989,0.016015443
Clarke,ssi0,0.953423017,0.011380178
Coile,ssi0,0.945921739,0.013435775
Hilsman,ssi0,0.940730329,0.012673098
BHL,ssi1,0.066930011,0.016015443
Clarke,ssi1,0.046576983,0.011380178
Coile,ssi1,0.054078261,0.013435775
Hilsman,ssi1,0.059269671,0.012673098
BHL,wic0,0.979351869,0.007271893
Clarke,wic0,0.991730497,0.003102795
Coile,wic0,0.956783761,0.010171521
Hilsman,wic0,0.985353293,0.006165533
BHL,wic1,0.020648131,0.007271893
Clarke,wic1,0.008269503,0.003102795
Coile,wic1,0.042581223,0.010153541
Hilsman,wic1,0.014646707,0.006165533
BHL,wic10,0,0
Clarke,wic10,0,0
Coile,wic10,6.35E-04,6.35E-04
Hilsman,wic10,0,0
BHL,snap0,0.902294304,0.017834834
Clarke,snap0,0.93351472,0.00981998
Coile,snap0,0.873315387,0.01481298
Hilsman,snap0,0.926908395,0.012023565
BHL,snap1,0.097705696,0.017834834
Clarke,snap1,0.06648528,0.00981998
Coile,snap1,0.126684613,0.01481298
Hilsman,snap1,0.073091605,0.012023565
BHL,sec80,0.967293582,0.011133809
Clarke,sec80,0.987467262,0.002869259
Coile,sec80,0.975074711,0.007175877
Hilsman,sec80,0.989631474,0.003867005
BHL,sec81,0.032706418,0.011133809
Clarke,sec81,0.012532738,0.002869259
Coile,sec81,0.024925289,0.007175877
Hilsman,sec81,0.010368526,0.003867005
BHL,nowelfareben0,0.186078043,0.023890099
Clarke,nowelfareben0,0.114478284,0.014642057
Coile,nowelfareben0,0.240097415,0.021539752
Hilsman,nowelfareben0,0.166273785,0.018838688
BHL,nowelfareben1,0.813921957,0.023890099
Clarke,nowelfareben1,0.885521716,0.014642057
Coile,nowelfareben1,0.759902585,0.021539752
Hilsman,nowelfareben1,0.833726215,0.018838688
BHL,checking0,0.027075153,0.009878961
Clarke,checking0,0.017303907,0.003876772
Coile,checking0,0.039246825,0.00859011
Hilsman,checking0,0.026458046,0.007230403
BHL,checking1,0.972924847,0.009878961
Clarke,checking1,0.982696093,0.003876772
Coile,checking1,0.960753175,0.00859011
Hilsman,checking1,0.973541954,0.007230403
BHL,savings0,0.3069508,0.028709934
Clarke,savings0,0.227059261,0.025353119
Coile,savings0,0.299734568,0.028519009
Hilsman,savings0,0.235035535,0.023363427
BHL,savings1,0.6930492,0.028709934
Clarke,savings1,0.772940739,0.025353119
Coile,savings1,0.700265432,0.028519009
Hilsman,savings1,0.764964465,0.023363427
BHL,medbill_worry0,0.3764748,0.029831117
Clarke,medbill_worry0,0.451708733,0.030372693
Coile,medbill_worry0,0.334408443,0.02864334
Hilsman,medbill_worry0,0.384252794,0.026764511
BHL,medbill_worry1,0.437962553,0.03041388
Clarke,medbill_worry1,0.416852671,0.030137866
Coile,medbill_worry1,0.390427798,0.029510412
