middleschool,variable.x,est,se
Clarke,vet0,12950.2119194,283.8234327571963
Coile,vet0,5140.9214536,110.2783395145733
Hilsman,vet0,11479.7493091,260.0174702940511
BHLyons,vet1,1369.266011,184.93034310167627
Clarke,vet1,1363.5897374,264.146942309471
Coile,vet1,696.6144334,106.20169411468372
Hilsman,vet1,1592.4046306,235.8102039440518
BHLyons,employed0,2695.583737,226.77590128896094
Clarke,employed0,3805.545055,367.29643465670813
Coile,employed0,1484.4148382,139.02396005037963
Hilsman,employed0,4330.5818125000005,335.8026028268929
BHLyons,employed1,5149.245983,229.71168067110708
Clarke,employed1,10542.0383094,375.22433209691724
Coile,employed1,4332.2842768,141.32809410632603
Hilsman,employed1,8875.9265051,340.5703690129128
BHLyons,workstat1,77.921379,45.9295327854264
Clarke,workstat1,114.457146,65.81868715545201
Coile,workstat1,69.026367,41.90050600800173
Hilsman,workstat1,308.691708,111.39765814989626
BHLyons,workstat2,495.407317,109.30536301104489
Clarke,workstat2,443.2336394,160.41019830803384
Coile,workstat2,268.3260016,66.68053105545908
Hilsman,workstat2,403.2799984,110.61441063716222
BHLyons,workstat3,1727.745538,200.78032974891448
Clarke,workstat3,2413.2414962000003,325.8917075494691
Coile,workstat3,684.3866468,105.41716188342923
Hilsman,workstat3,2595.5742422,290.3481574195768
BHLyons,workstat4,216.92721799999998,74.59464557365075
Clarke,workstat4,467.71450319999997,89.74117010011463
Coile,workstat4,355.4536546,65.66820788050985
Hilsman,workstat4,531.6531043,121.72476460674208
BHLyons,workstat5,125.309219,57.41101412485201
Clarke,workstat5,145.8000018,69.58851057997046
Coile,workstat5,106.6606412,41.71426780198412
Hilsman,workstat5,392.8127423,121.66683128930514
BHLyons,hoursworked1,603.72695,126.35445157104422
Clarke,hoursworked1,1676.368514,291.39906960466953
Coile,hoursworked1,571.4763996,106.70701184175697
Hilsman,hoursworked1,824.2307494,170.07629884269895
BHLyons,hoursworked2,453.389976,108.4735391732762
Clarke,hoursworked2,527.1359746,156.22024908685432
Coile,hoursworked2,462.6153962,103.11865159189225
Hilsman,hoursworked2,876.6383786,184.14513226006258
BHLyons,hoursworked3,490.360077,113.87663684511774
Clarke,hoursworked3,690.5693588,182.04850959677137
Coile,hoursworked3,400.9840684,86.01776683858587
Hilsman,hoursworked3,545.2237018,141.83570116440663
BHLyons,hoursworked4,1532.560732,187.8376742130591
Clarke,hoursworked4,3769.4391256000004,378.4069296522347
Coile,hoursworked4,1319.6841174,144.9825559212353
Hilsman,hoursworked4,2724.1925873,293.8870578285219
BHLyons,hoursworked5,1943.8580909999998,209.71544081116753
Clarke,hoursworked5,3886.4937354000003,397.29600151206705
Coile,hoursworked5,1513.6996512,155.34190030811052
Hilsman,hoursworked5,3877.4667114,327.5161765975561
BHLyons,healthinsure0,1771.705896,200.66562642944237
Clarke,healthinsure0,4036.1338744,377.560875577573
Coile,healthinsure0,1740.9521874,159.5812117932976
Hilsman,healthinsure0,2791.723206,290.22605944520984
BHLyons,healthinsure1,3259.677816,237.65000806558504
Clarke,healthinsure1,7089.6632242000005,438.433998847597
Coile,healthinsure1,2553.6503882,173.64260832856678
Hilsman,healthinsure1,6133.1020769,361.128313273259
BHLyons,dentalinsure0,2085.04896,211.72381140682882
Clarke,dentalinsure0,5340.3127018000005,412.6337399926341
Coile,dentalinsure0,2105.057071,165.66636713960438
Hilsman,dentalinsure0,3494.2021616,316.02387673879525
BHLyons,dentalinsure1,2946.3347519999998,232.77899487372497
Clarke,dentalinsure1,5785.4843968000005,433.7302434243724
Coile,dentalinsure1,2189.5455046,169.0089291293849
Hilsman,dentalinsure1,5430.6231213,356.5199353770533
BHLyons,sickleave0,2233.963068,215.57451357240856
Clarke,sickleave0,5166.233217,406.58792089988555
Coile,sickleave0,2149.5029964,167.3398626320792
Hilsman,sickleave0,3744.5548448,322.76669600649603
BHLyons,sickleave1,2797.420644,231.75844531198237
Clarke,sickleave1,5959.5638816,436.7152258548633
Coile,sickleave1,2145.0995792,169.47157764412077
Hilsman,sickleave1,5180.2704381,350.6527944145922
BHLyons,paidvacay0,2249.461868,215.33118257239587
Clarke,paidvacay0,5251.4781712,413.9081633801529
Coile,paidvacay0,1894.2601692,163.36227644995222
Hilsman,paidvacay0,3452.7719333,315.27325669592807
BHLyons,paidvacay1,2781.921844,231.14873158561946
Clarke,paidvacay1,5874.318927400001,433.68612524295924
Coile,paidvacay1,2400.3424064,172.24143856189173
Hilsman,paidvacay1,5472.0533496,356.34061142492857
BHLyons,famleave0,2965.4631759999997,233.68595174576
Clarke,famleave0,6825.5532454,436.5714313279796
Coile,famleave0,2640.48988,169.4494308986017
Hilsman,famleave0,5015.5264912,348.6608217252577
BHLyons,famleave1,2065.920536,212.19325519920284
Clarke,famleave1,4300.243853200001,407.4716755264046
Coile,famleave1,1654.1126956,156.21762790705841
Hilsman,famleave1,3909.2987917,331.6312031116016
BHLyons,retireplan0,2226.932275,216.07953874681624
Clarke,retireplan0,4884.621806,397.06335056024255
Coile,retireplan0,2234.1210184,165.91269998654184
Hilsman,retireplan0,3322.1828871000002,309.74724832554386
BHLyons,retireplan1,2804.4514369999997,231.4964729787397
Clarke,retireplan1,6241.1752926,438.09217164161635
Coile,retireplan1,2060.4815572,166.30039776510753
Hilsman,retireplan1,5602.6423958000005,357.33499851679323
BHLyons,profitshare0,4472.773613,238.2941707665346
Clarke,profitshare0,10006.0829098,413.46383039132434
Coile,profitshare0,3594.8061138000003,168.51847271074018
Hilsman,profitshare0,7753.8878206,352.81866716064985
BHLyons,profitshare1,558.610099,119.35692976787986
Clarke,profitshare1,1119.7141888,255.19684072506902
Coile,profitshare1,699.7964618,118.57848665872098
Hilsman,profitshare1,1170.9374623,205.11476649143785
BHLyons,bonus0,4329.051778999999,241.6046244859057
Clarke,bonus0,9727.5512326,412.02182839533185
Coile,bonus0,3383.1008238,171.90157299157178
Hilsman,bonus0,6989.2491764,362.07601922274006
BHLyons,bonus1,702.3319329999999,136.51612343270997
Clarke,bonus1,1398.245866,257.10593428669966
Coile,bonus1,911.5017518000001,130.67518239756097
Hilsman,bonus1,1935.5761065,256.55184037979376
