middleschool.x,variable.x.x,est,se,pct,pctse
Coile,white1,3437.5311834,153.6390880212124,0.5892540419142105,0.02619947727076937
Hilsman,white1,9315.8244367,310.4776963347834,0.7121054878930212,0.022926338451461404
BHLyons,other_race0,7544.865963,104.78501910690872,0.9616841524517571,0.011083041121647954
Clarke,other_race0,14127.1615478,126.98382762360771,0.9804665349283078,0.007011024695629896
Coile,other_race0,5439.8047302,75.32510628474924,0.9324793735613364,0.012200550212786043
Hilsman,other_race0,12603.7160915,179.7676612212581,0.9634332911260894,0.01041979830946718
BHLyons,other_race1,300.605904,87.02203335539288,0.03831584754824282,0.011083041121647956
Clarke,other_race1,281.4501126,101.01869545846236,0.019533465071692176,0.007011024695629896
Coile,other_race1,393.8950646,71.26260140866518,0.06752062643866372,0.012200550212786043
Hilsman,other_race1,478.3687893,136.42375502354392,0.03656670887391052,0.010419798309467179
BHLyons,latinx0,7271.839008,133.62588117502685,0.9142223249620883,0.01576837952800437
Clarke,latinx0,13835.9879122,179.6125006917722,0.97014607230537,0.010075696552176047
Coile,latinx0,5258.6951768,91.50605536592587,0.9021979392432574,0.014381740996142447
Hilsman,latinx0,12974.3103874,129.56936295115239,0.9734345416055057,0.008563008907770389
BHLyons,latinx1,682.286383,125.55668747373895,0.08577767503791166,0.01576837952800437
Clarke,latinx1,425.7694738,143.76148533899232,0.029853927694630043,0.010075696552176047
Coile,latinx1,570.0647306,83.88289841128484,0.09780206075674257,0.014381740996142447
Hilsman,latinx1,354.07465840000003,114.16917254573849,0.02656545839449431,0.008563008907770389
BHLyons,maritalstat0,3559.919509,237.9617246262992,0.4484766868896541,0.029739271851729972
Clarke,maritalstat0,6043.6718244,424.2980305374883,0.4191628407066012,0.029361287621256688
Coile,maritalstat0,3104.181329,170.0030120560574,0.5254999555661569,0.02873488527441836
Hilsman,maritalstat0,7092.7840894,358.82353675992084,0.5336047142547223,0.026774272060923476
BHLyons,maritalstat1,4377.883309,237.54986716404034,0.5515233131103459,0.029739271851729972
Clarke,maritalstat1,8374.762343600001,424.8589460341528,0.5808371592933989,0.029361287621256688
Coile,maritalstat1,2802.9197014,170.05514004774113,0.474500044433843,0.028734885274418368
Hilsman,maritalstat1,6199.4224821,357.18733522243184,0.46639528574527767,0.026774272060923476
BHLyons,dating0,1245.475062,170.82307589518635,0.6214506577004123,0.056699364507415306
Clarke,dating0,2313.4385604,294.7952600253064,0.5969461218060587,0.05497922688826363
Coile,dating0,1118.8994356,133.86745938235305,0.5041019797617444,0.04900025154062531
Hilsman,dating0,2285.4338583,263.3708490629741,0.4950256359380468,0.045878417720660876
BHLyons,dating1,758.6664519999999,137.37764406458797,0.37854934229958775,0.056699364507415306
